Time,traj,gen
7.0600000000000005,-1.9991259444816127,-1.999137087439731
7.07,-1.9961628684477537,-1.9961755812625153
7.08,-1.99321452456135,-1.9932289102597078
7.09,-1.990281276678587,-1.9902974405498965
7.1000000000000005,-1.9873634897546135,-1.9873815391812766
7.11,-1.98446152981014,-1.9844815740805266
7.12,-1.9815757638968252,-1.9815979139997508
7.13,-1.9787065600614329,-1.9787309284614503
7.140000000000001,-1.9758542873087244,-1.9758809877014927
7.15,-1.9730193155630629,-1.97304846261005
7.16,-1.9702020156286997,-1.970233724670473
7.17,-1.9674027591487169,-1.9674371458960749
7.18,-1.964621918562595,-1.9646590987647974
7.19,-1.9618598670623817,-1.9618999561517336
7.2,-1.9591169785474287,-1.9591600912594846
7.21,-1.9563936275776752,-1.956439877546327
7.22,-1.9536901893254424,-1.9537396886521734
7.23,-1.9510070395257164,-1.9510598983223078
7.24,-1.9483445544248896,-1.9484008803288784
7.25,-1.9457031107279348,-1.9457630083901405
7.26,-1.9430830855439805,-1.9431466560874335
7.27,-1.940484856330265,-1.9405521967798884
7.28,-1.9379088008344385,-1.93798000351686
7.29,-1.9353552970351873,-1.9354304489480798
