t,p,x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12
5.49,0.5495495495495496,32.82029109864237,-30.211996441211955,-5.477639342523278,7.593632070693317,37.83666775989732,-29.671464779051767,-11.062517704458172,-8.338337434572091,21.147816681167004,-8.09666365754419,-17.082657697312154,2.580132520057269,9.014567497587159
5.5,0.5505505505505506,32.82225462090912,-30.21253015155553,-5.478996863630287,7.597535245785971,37.84405048133505,-29.671964449382806,-11.061496684709137,-8.337202932634485,21.14662547356832,-8.09816484855252,-17.08313361845237,2.572398837908364,9.01245546078113
5.51,0.5515515515515516,32.82421838630935,-30.213046323911207,-5.4803146154347795,7.601426842732823,37.85146784310489,-29.672455900991622,-11.060474547777957,-8.336080128700052,21.14543526694215,-8.099691624547432,-17.083609894881363,2.5646114433325296,9.0103438251935
5.5200000000000005,0.5525525525525525,32.82618235442444,-30.213544884496958,-5.481592323719184,7.605307051665597,37.85891941282967,-29.672939682453325,-11.059451287202661,-8.33496915755413,21.144246090323765,-8.101244343455027,-17.084086479796262,2.556771208280339,9.008232612524562
5.53,0.5535535535535535,32.82814648338414,-30.214025766658246,-5.482829721014272,7.609176061621375,37.86640473462416,-29.67341633567973,-11.05842689533115,-8.333870155680057,21.14305797266472,-8.1028233721013,-17.084563329425773,2.548879050428572,9.006121844538375
5.54,0.5545545545545546,32.83011072989356,-30.214488910876234,-5.484026546821151,7.613034060553052,37.873923328809575,-29.673886395571834,-11.057401363368065,-8.332783261307553,21.141870942836473,-8.104429086441147,-17.085040403000338,2.5409359336021327,9.00401154306234
5.55,0.5555555555555556,32.832075049262436,-30.214934264764846,-5.4851825478336,7.6168812353436035,37.881474691666135,-29.67435038966783,-11.056374681421508,-8.331708614462473,21.14068502963385,-8.10606187179305,-17.085517662720044,2.5329428681413506,9.00190172998678
5.5600000000000005,0.5565565565565566,32.83403939543664,-30.21536178305638,-5.4862974781603935,7.6207177718241805,37.88905829522623,-29.67480883778705,-11.055346838549543,-8.330646357017946,21.139500261778437,-8.107722123079425,-17.085995073720262,2.5249009112117777,8.999792427264541
5.57,0.5575575575575575,32.836003721032085,-30.21577142757541,-5.487371099547235,7.624543854796028,37.896673587110556,-29.675262251670368,-11.05431782280638,-8.329596632746947,21.138316667921824,-8.109410245072624,-17.086472604034988,2.5168111670536675,8.997683656910597
5.58,0.5585585585585585,32.83796797737092,-30.216163167200644,-5.488403181597894,7.62835966805621,37.904319990409824,-29.67571113461749,-11.05328762128815,-8.328559587376335,21.137134276648734,-8.11112665264658,-17.08695022455785,2.5086747871683865,8.995575441001668
5.59,0.5595595595595596,32.839932114520195,-30.216536977814542,-5.489393501994121,7.632165394427154,37.91199690361424,-29.67615598112176,-11.052256220178172,-8.327535368642382,21.135953116480035,-8.112871771034031,-17.087427909000755,2.5004929704390992,8.993467801675846
5.6000000000000005,0.5605605605605606,32.841896081332855,-30.216892842240448,-5.490341846713896,7.635961215789972,37.91970370059323,-29.676597276503013,-11.051223604791637,-8.326524126347831,21.13477321587561,-8.114646036089281,-17.087905633850184,2.4922669631831775,8.991360761132244
5.61,0.5615615615615616,32.84385982549129,-30.217230750167058,-5.491248010247554,7.639747313121572,37.92743973062762,-29.677035496539123,-11.050189759619593,-8.325526012420516,21.13359460323713,-8.11644989455644,-17.088383378321065,2.4839980591339046,8.989254341630634
5.62,0.5625625625625625,32.84582329355327,-30.217550698060045,-5.492111795811284,7.643523866535508,37.93520431849632,-29.67747110709687,-11.049154668372159,-8.324541180973567,21.132417306910654,-8.118283804343058,-17.08886112430827,2.4756875993491856,8.98714856549111
5.63,0.5635635635635635,32.84778643100041,-30.21785268906072,-5.492933015557526,7.647291055326554,37.942996764619735,-29.67790456376289,-11.048118314020856,-8.323569788367243,21.131241355189164,-8.120148234799043,-17.089338856335672,2.4673369720451293,8.985043455093756
5.64,0.5645645645645646,32.84974918228911,-30.21813673287166,-5.493711490781717,7.651049058018962,37.950816345261664,-29.67833631147536,-11.047080678839984,-8.322611993272412,21.130066776314923,-8.122043667000797,-17.0898165615028,2.4589476123525498,8.982939032878317
5.65,0.5655655655655656,32.851711490904066,-30.21840284562918,-5.494447052124876,7.654798052418361,37.95866231279154,-29.678766784157236,-11.046041744446926,-8.321667956735718,21.128893598481717,-8.123970594040399,-17.09029422942906,2.4505210019946166,8.980835321343887
5.66,0.5665665665665666,32.85367329941423,-30.21865104976271,-5.495139539771463,7.658538215667249,37.96653389600864,-29.67919640435181,-11.045001491841308,-8.320737842246446,21.127721849837,-8.125929521319735,-17.09077185219554,2.4420586688840973,8.978732343048591
