t,p,x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15
10.84,0.27127127127127126,12.982616988574316,-24.851952857615125,7.2205242518391435,-6.286547569962433,16.3024719626779,25.64788595591363,-18.537203670031577,-5.853261212816125,12.748063869703527,-37.33099951205802,-2.7669835155588833,22.41332847117311,-6.981385536474945,24.99726140195594,25.419965568581304,-43.67062606865816
10.88,0.27227227227227224,12.979549954948947,-24.853200359528937,7.21531958187815,-6.283972974493642,16.30143378240748,25.646169514766555,-18.538951012047594,-5.85642351637342,12.744754313582302,-37.33262402709715,-2.764992579654033,22.41709430027504,-6.9679438133577225,24.998689464389056,25.419960436802675,-43.67170453925411
10.92,0.2732732732732733,12.976494956558478,-24.85444896250134,7.210126211542814,-6.28141383498491,16.300419074347793,25.64444691217538,-18.540697617109135,-5.85971194276125,12.741492366034144,-37.33425869888441,-2.762950072876497,22.420998371211066,-6.954678379810918,25.000197427276845,25.419938453583974,-43.672795736558434
10.96,0.27427427427427425,12.97345221114144,-24.855698800040376,7.204944259238681,-6.278870384735695,16.299428397040188,25.642718092865298,-18.54244331678595,-5.863129084675213,12.738275649026486,-37.33590356223023,-2.7608531002941303,22.425044416950993,-6.941590047038246,25.001783401060308,25.419899845610065,-43.673899449890015
11.0,0.2752752752752753,12.97042190540366,-24.856949999740824,7.199773838829122,-6.2763428524399725,16.298462337924832,25.640983003373158,-18.544187972806377,-5.866677648342627,12.735101638305313,-37.33755867970833,-2.7586986951933263,22.42923631272446,-6.928679447479245,25.00344542613573,25.419844834493762,-43.675015474235735
11.040000000000001,0.27627627627627627,12.967404193392554,-24.85820268370522,7.19461505938124,-6.273831462200494,16.297521514227853,25.639241591691118,-18.545931477802014,-5.870360457662999,12.731967668652986,-37.33922414253661,-2.756483816432968,22.433578080921574,-6.915947044512627,25.005181478319383,25.41977363620953,-43.6761436106997
11.08,0.2772772772772773,12.964399194940109,-24.859456968978293,7.189468024899964,-6.27133643355119,16.29660657387721,25.63749380689614,-18.547673755993582,-5.874180458259861,12.728870939160926,-37.34090007143648,-2.7542053457286033,22.438073895897425,-6.903393142226219,25.006989474190544,25.419686460520225,-43.6772836669647
11.120000000000001,0.2782782782782783,12.961406994175313,-24.860712967994147,7.184332834050446,-6.268857981487874,16.295718196448203,25.635739598765607,-18.54941476381982,-5.878140721420417,12.725808518494002,-37.3425866174697,-2.751860084874701,22.442728088652416,-6.891017895204561,25.008867276295703,25.419583510398013,-43.67843545776487
11.16,0.27927927927927926,12.958427638106572,-24.861970789035407,7.179209579868961,-6.266396316507379,16.29485709413943,25.63397891737936,-18.551154490511475,-5.882244447896402,12.72277735012731,-37.34428396285163,-2.74944475291424,22.447545151356906,-6.878821318289198,25.01081269819891,25.4194649814405,-43.679598805368606
11.200000000000001,0.2802802802802803,12.955461135274373,-24.863230536703675,7.174098349462469,-6.2639516446552665,16.294024012779833,25.632211712708454,-18.552892958612492,-5.886494971536091,12.719774257539962,-37.3459923217395,-2.7469559832664325,22.45252974168483,-6.866803296270518,25.012823509365298,25.419331061283145,-43.680773540070774
11.24,0.28128128128128127,12.952507454474285,-24.864492312400536,7.168999223697087,-6.26152416758219,16.293219732867396,25.630437934191033,-18.55463022445049,-5.890895762713534,12.716795949354687,-37.347711940994266,-2.744390320825116,22.457686686916745,-6.854963593473892,25.014897439866715,25.419181929008996,-43.68195950069331
11.28,0.2822822822822823,12.949566523550246,-24.865756214818422,7.163912276875707,-6.25911408260903,16.29244507063986,25.628657530295644,-18.556366378558735,-5.895450431516767,12.713839024416195,-37.34944310091404,-2.7417442190422845,22.46302098776791,-6.843301863206566,25.017032184900415,25.41901775455671,-43.68315653509324
