Time,mean_NED,lower_NED,upper_NED,mean_NED_ab,lower_NED_ab,upper_NED_ab,mean_NED_t,lower_NED_t,upper_NED_t
1.08,1.3648443604561973e-07,-4.841641846246944e-08,3.213852905537089e-07,0.002664134495148663,0.002320434761939516,0.0030078342283578097,0.02374299308393303,0.0052937462893915925,0.042192239878474466
1.09,1.3694731505476864e-07,-4.858313056845644e-08,3.2247776067799375e-07,0.002672142506371893,0.002327312662840147,0.0030169723499036388,0.0245866655262106,0.005765653926330699,0.043407677126090505
1.1,1.374060855927876e-07,-4.874934412297723e-08,3.235615153085524e-07,0.0026801045499926287,0.0023341499245733196,0.003026059175411938,0.025456062427888813,0.006252569352802689,0.044659555502974936
1.11,1.3786084578052737e-07,-4.891509072761784e-08,3.246367822886726e-07,0.0026880223327041142,0.0023409480503046604,0.003035096615103568,0.026346627960065455,0.0067507001559915306,0.04594255576413938
1.12,1.3831169782097299e-07,-4.908039461518371e-08,3.2570379025712966e-07,0.0026958975238764713,0.0023477085112748874,0.0030440865364780552,0.027253577639427116,0.007256656568236687,0.047250498710617546
1.1300000000000001,1.3875874901943474e-07,-4.924527172868677e-08,3.2676276976755625e-07,0.002703731757391587,0.0023544327484521467,0.0030530307663310273,0.028172482910085072,0.007767726675917332,0.04857723914425281
1.1400000000000001,1.3920211290190905e-07,-4.940972869815792e-08,3.2781395450197604e-07,0.0027115266334167094,0.002361122174129207,0.003061931092704212,0.029099650710001458,0.00828196714606325,0.04991733427393967
1.1500000000000001,1.3964191043572112e-07,-4.9573761711365875e-08,3.288575825828081e-07,0.002719283720118747,0.00236777817346683,0.003070789266770664,0.0300322749518073,0.008798136109267867,0.05126641379434674
1.16,1.400782713559911e-07,-4.973735527478769e-08,3.298938979867699e-07,0.002727004555320937,0.0023744021059842963,0.003079607004657578,0.030968380579592784,0.009315501329993071,0.052621259829192496
1.17,1.40511335597682e-07,-4.990048086561228e-08,3.3092315206097626e-07,0.0027346906481033532,0.0023809953069978667,0.0030883859892088398,0.03190659000925433,0.00983355520559323,0.05397962481291543
1.18,1.409412548221084e-07,-5.00630954862158e-08,3.319456051304326e-07,0.002742343480348454,0.0023875590890076763,0.003097127871689232,0.03284575374671635,0.01035168082138057,0.055339826672052124
1.19,1.4136819403312641e-07,-5.022514012620385e-08,3.329615281924567e-07,0.0027499645082327794,0.0023940947430334636,0.003105834273432095,0.033784516981001954,0.01086883681790415,0.056700197144099754
1.2,1.4179233325544417e-07,-5.03865381604714e-08,3.3397120467135974e-07,0.0027575551636656336,0.002400603539899263,0.003114506787432004,0.03472093028544157,0.011383346406783061,0.05805851416410008
1.21,1.4221386924912677e-07,-5.054719370985437e-08,3.3497493220810793e-07,0.0027651168556755944,0.0024070867314672033,0.0031231469798839854,0.0356522294833741,0.011892868489073647,0.05941159047767455
1.22,1.4263301721459e-07,-5.070699001135024e-08,3.3597302444053026e-07,0.0027726509717455453,0.002413545551820413,0.0031317563916706775,0.03657487891422886,0.012394582547744962,0.06075517528071275
1.23,1.4305001243129472e-07,-5.0865787855951326e-08,3.369658127185408e-07,0.0027801588790969294,0.0024199812183950706,0.003140336539798788,0.03748488347962378,0.012885540213322163,0.0620842267459254
