Time,mean_smape,lower_smape,upper_smape,mean_smape_ab,lower_smape_ab,upper_smape_ab,mean_smape_t,lower_smape_t,upper_smape_t,mean_smape_AIC,lower_smape_AIC,upper_smape_AIC
2.83,1.3343953885694696e-08,1.1443874820429164e-08,1.5244032950960228e-08,0.2989559370614003,0.2512856277358605,0.34662624638694006,0.6491421945138779,0.5720676161125017,0.7262167729152541,8.772982816470982e-09,7.544152939209855e-09,1.0001812693732109e-08
2.84,1.3333903609594406e-08,1.1435526374089755e-08,1.5232280845099055e-08,0.29890310857544855,0.25123727165421483,0.34656894549668227,0.6491354976064901,0.5720616465298081,0.7262093486831722,8.766540836474504e-09,7.538708705003444e-09,9.994372967945563e-09
2.85,1.3323884167951432e-08,1.1427203718096984e-08,1.522056461780588e-08,0.29885022374829673,0.2511888606639709,0.34651158683262256,0.6491288164918264,0.572055690980936,0.7262019420027168,8.76011878232644e-09,7.533281326730925e-09,9.986956237921954e-09
2.86,1.3313895450855141e-08,1.1418906759569325e-08,1.5208884142140956e-08,0.29879728257495564,0.2511403947602737,0.34645417038963755,0.6491221511667008,0.572049749463351,0.7261945528700506,8.753716583685488e-09,7.5278707438889e-09,9.979562423482076e-09
2.87,1.3303937379944185e-08,1.1410635436241989e-08,1.5197239323646383e-08,0.2987442850499338,0.25109187393778293,0.3463966961620846,0.6491155016279511,0.5720438219745388,0.7261871812813633,8.74733418339435e-09,7.522476911599204e-09,9.972191455189497e-09
2.88,1.3294009838137228e-08,1.1402389649033477e-08,1.518563002724098e-08,0.29869123116723756,0.2510432981906724,0.3463391641438027,0.6491088678724445,0.572037908512011,0.726179827232878,8.740971511463616e-09,7.517099767783711e-09,9.96484325514352e-09
2.89,1.3284112740127727e-08,1.1394169329198584e-08,1.517405615105687e-08,0.2986381209203695,0.2509946675126287,0.3462815743281103,0.6491022498970748,0.5720320090733018,0.7261724907208478,8.734628509504357e-09,7.511739265208616e-09,9.957517753800099e-09
2.9,1.32742459617567e-08,1.1385974368427266e-08,1.5162517555086134e-08,0.29858495430232934,0.25094598189685224,0.34622392670780644,0.6490956476987607,0.5720261236559666,0.7261651717415548,8.728305097140814e-09,7.506395333579741e-09,9.950214860701887e-09
2.91,1.3264409416321025e-08,1.1377804697752623e-08,1.5151014134889427e-08,0.29853173130561195,0.25089724133605495,0.34616622127516894,0.6490890612744501,0.5720202522575867,0.7261578702913135,8.722001224119385e-09,7.501067933508291e-09,9.942934514730478e-09
2.92,1.3254603022880536e-08,1.1369660252144026e-08,1.5139545793617047e-08,0.2984784519222084,0.2508484458224613,0.3461084580219555,0.6490824906211161,0.5720143948757646,0.7261505863664677,8.71571682884252e-09,7.4957570120345e-09,9.93567664565054e-09
